Team,ELO
space station,1080.9638332247116
NRG,1028.8326467516752
G2,1027.714296147299
C9,1009.3977698157805
soniqs,1009.1882424691192
Ghosts,1008.1806267731232
Rogue,973.2841090809816
P Knights,971.6327515291514
EU,953.8974987579626
Flight,936.9082254501956
